
You are analyzing a gear train system with special mechanical components.

Gear 1: 29 teeth, (input gear), meshes with Gear 2
Gear 56: 23 teeth, meshes with Gears 55, 57
Gear 57: 79 teeth, meshes with Gears 56, 58
Gear 58: 47 teeth, meshes with Gears 57, 59
Gear 59: 47 teeth, meshes with Gears 58, 60
Gear 60: 17 teeth, meshes with Gears 59, 61
Gear 61: 11 teeth, meshes with Gears 60, 62
Gear 62: 37 teeth, meshes with Gears 61, 63
Gear 63: 67 teeth, meshes with Gears 62, 64
Gear 64: 61 teeth, meshes with Gears 63, 65
Gear 65: 43 teeth, meshes with Gears 64, 66
Gear 66: 31 teeth, meshes with Gears 65, 67
Gear 67: 31 teeth, meshes with Gears 66, 68
Gear 68: 79 teeth, meshes with Gears 67, 69
Gear 69: 41 teeth, meshes with Gears 68, 70
Gear 70: 19 teeth, meshes with Gears 69, 71
Gear 71: 73 teeth, meshes with Gears 70, 72
Gear 72: 73 teeth, meshes with Gears 71, 73
Gear 73: 53 teeth, meshes with Gears 72, 74
Gear 74: 41 teeth, meshes with Gears 73, 75
Gear 75: 23 teeth, meshes with Gears 74, 76
Gear 76: 59 teeth, meshes with Gears 75, 77
Gear 77: 79 teeth, meshes with Gears 76, 78
Gear 78: 11 teeth, meshes with Gears 77, 79
Gear 79: 61 teeth, meshes with Gears 78, 80
Gear 80: 43 teeth, meshes with Gears 79, 81
Gear 81: 47 teeth, meshes with Gears 80, 82
Gear 82: 67 teeth, meshes with Gears 81, 83
Gear 83: 23 teeth, meshes with Gears 82, 84
Gear 84: 23 teeth, meshes with Gears 83, 85
Gear 85: 29 teeth, meshes with Gears 84, 86
Gear 86: 59 teeth, meshes with Gears 85, 87
Gear 87: 47 teeth, meshes with Gears 86, 88
Gear 88: 89 teeth, meshes with Gears 87, 89
Gear 89: 89 teeth, meshes with Gears 88, 90
Gear 90: 59 teeth, meshes with Gears 89, 91
Gear 91: 37 teeth, meshes with Gears 90, 92
Gear 92: 37 teeth, meshes with Gears 91, 93
Gear 93: 41 teeth, meshes with Gears 92, 94
Gear 94: 47 teeth, meshes with Gears 93, 95
Gear 95: 41 teeth, meshes with Gears 94, 96
Gear 96: 17 teeth, meshes with Gears 95, 97
Gear 97: 23 teeth, meshes with Gears 96, 98
Gear 98: 79 teeth, meshes with Gears 97, 99
Gear 99: 13 teeth, meshes with Gears 98, 100
Gear 100: 71 teeth, meshes with Gear 99

The input gear (gear 1) is rotating CLOCKWISE at 10000 RPM.


Standard gear rules apply:
- Meshing gears rotate in opposite directions
- Speed ratio = driving gear teeth / driven gear teeth
- Gears on the same shaft rotate together (same speed and direction)


For each gear in the system, determine:
1. Its rotation direction (clockwise, counterclockwise, or stopped)
2. Its rotation speed in RPM (use 0 if stopped, use average RPM for variable-speed gears)
3. Any special notes about the gear's behavior

Important: Some gears may be stopped (0 RPM) due to clutches, ratchets, or shattered components.
