task_index,subpass,model_run,score
12,9,gemini-3-pro-preview-HighReasoning,1.0000000000
12,10,gemini-3-pro-preview-HighReasoning,0.0000000000
12,11,gemini-3-pro-preview-HighReasoning,1.0000000000
12,12,gemini-3-pro-preview-HighReasoning,1.0000000000
12,13,gemini-3-pro-preview-HighReasoning,1.0000000000
12,14,gemini-3-pro-preview-HighReasoning,0.0000000000
12,15,gemini-3-pro-preview-HighReasoning,1.0000000000
12,16,gemini-3-pro-preview-HighReasoning,0.0000000000
12,17,gemini-3-pro-preview-HighReasoning,0.0000000000
12,18,gemini-3-pro-preview-HighReasoning,0.0000000000
12,19,gemini-3-pro-preview-HighReasoning,1.0000000000
12,20,gemini-3-pro-preview-HighReasoning,1.0000000000
12,21,gemini-3-pro-preview-HighReasoning,1.0000000000
12,22,gemini-3-pro-preview-HighReasoning,0.0000000000
12,23,gemini-3-pro-preview-HighReasoning,1.0000000000
12,24,gemini-3-pro-preview-HighReasoning,1.0000000000
12,25,gemini-3-pro-preview-HighReasoning,1.0000000000
12,26,gemini-3-pro-preview-HighReasoning,1.0000000000
12,27,gemini-3-pro-preview-HighReasoning,1.0000000000
12,28,gemini-3-pro-preview-HighReasoning,1.0000000000
12,29,gemini-3-pro-preview-HighReasoning,1.0000000000
12,30,gemini-3-pro-preview-HighReasoning,1.0000000000
12,31,gemini-3-pro-preview-HighReasoning,1.0000000000
12,32,gemini-3-pro-preview-HighReasoning,1.0000000000
12,33,gemini-3-pro-preview-HighReasoning,1.0000000000
12,34,gemini-3-pro-preview-HighReasoning,1.0000000000
12,35,gemini-3-pro-preview-HighReasoning,1.0000000000
12,36,gemini-3-pro-preview-HighReasoning,1.0000000000
12,37,gemini-3-pro-preview-HighReasoning,1.0000000000
12,38,gemini-3-pro-preview-HighReasoning,1.0000000000
12,39,gemini-3-pro-preview-HighReasoning,1.0000000000
12,0,gemini-3-pro-preview-Reasoning-Tools,1.0000000000
12,1,gemini-3-pro-preview-Reasoning-Tools,1.0000000000
12,2,gemini-3-pro-preview-Reasoning-Tools,1.0000000000
12,3,gemini-3-pro-preview-Reasoning-Tools,1.0000000000
12,4,gemini-3-pro-preview-Reasoning-Tools,1.0000000000
12,5,gemini-3-pro-preview-Reasoning-Tools,1.0000000000
12,6,gemini-3-pro-preview-Reasoning-Tools,1.0000000000
12,7,gemini-3-pro-preview-Reasoning-Tools,1.0000000000
12,8,gemini-3-pro-preview-Reasoning-Tools,1.0000000000
12,9,gemini-3-pro-preview-Reasoning-Tools,1.0000000000
12,10,gemini-3-pro-preview-Reasoning-Tools,1.0000000000
12,11,gemini-3-pro-preview-Reasoning-Tools,1.0000000000
12,12,gemini-3-pro-preview-Reasoning-Tools,0.0000000000
12,13,gemini-3-pro-preview-Reasoning-Tools,1.0000000000
12,14,gemini-3-pro-preview-Reasoning-Tools,1.0000000000
12,15,gemini-3-pro-preview-Reasoning-Tools,0.0000000000
12,16,gemini-3-pro-preview-Reasoning-Tools,1.0000000000
12,17,gemini-3-pro-preview-Reasoning-Tools,1.0000000000
12,18,gemini-3-pro-preview-Reasoning-Tools,0.0000000000
12,19,gemini-3-pro-preview-Reasoning-Tools,0.0000000000
12,20,gemini-3-pro-preview-Reasoning-Tools,1.0000000000
12,21,gemini-3-pro-preview-Reasoning-Tools,1.0000000000
12,22,gemini-3-pro-preview-Reasoning-Tools,1.0000000000
12,23,gemini-3-pro-preview-Reasoning-Tools,1.0000000000
12,24,gemini-3-pro-preview-Reasoning-Tools,1.0000000000
12,25,gemini-3-pro-preview-Reasoning-Tools,1.0000000000
12,26,gemini-3-pro-preview-Reasoning-Tools,1.0000000000
12,27,gemini-3-pro-preview-Reasoning-Tools,1.0000000000
12,28,gemini-3-pro-preview-Reasoning-Tools,1.0000000000
12,29,gemini-3-pro-preview-Reasoning-Tools,1.0000000000
12,30,gemini-3-pro-preview-Reasoning-Tools,1.0000000000
12,31,gemini-3-pro-preview-Reasoning-Tools,1.0000000000
12,32,gemini-3-pro-preview-Reasoning-Tools,0.0000000000
12,33,gemini-3-pro-preview-Reasoning-Tools,1.0000000000
12,34,gemini-3-pro-preview-Reasoning-Tools,1.0000000000
12,35,gemini-3-pro-preview-Reasoning-Tools,0.0000000000
12,36,gemini-3-pro-preview-Reasoning-Tools,1.0000000000
12,37,gemini-3-pro-preview-Reasoning-Tools,0.0000000000
12,38,gemini-3-pro-preview-Reasoning-Tools,0.0000000000
12,39,gemini-3-pro-preview-Reasoning-Tools,0.0000000000
12,0,gpt-5.2-HighReasoning,1.0000000000
12,1,gpt-5.2-HighReasoning,1.0000000000
12,2,gpt-5.2-HighReasoning,1.0000000000
12,3,gpt-5.2-HighReasoning,1.0000000000
12,4,gpt-5.2-HighReasoning,1.0000000000
12,5,gpt-5.2-HighReasoning,1.0000000000
12,6,gpt-5.2-HighReasoning,1.0000000000
12,7,gpt-5.2-HighReasoning,1.0000000000
12,8,gpt-5.2-HighReasoning,1.0000000000
12,9,gpt-5.2-HighReasoning,1.0000000000
12,10,gpt-5.2-HighReasoning,1.0000000000
12,11,gpt-5.2-HighReasoning,1.0000000000
12,12,gpt-5.2-HighReasoning,1.0000000000
12,13,gpt-5.2-HighReasoning,1.0000000000
12,14,gpt-5.2-HighReasoning,1.0000000000
12,15,gpt-5.2-HighReasoning,1.0000000000
12,16,gpt-5.2-HighReasoning,0.0000000000
12,17,gpt-5.2-HighReasoning,0.0000000000
12,18,gpt-5.2-HighReasoning,0.0000000000
12,19,gpt-5.2-HighReasoning,1.0000000000
12,20,gpt-5.2-HighReasoning,1.0000000000
12,21,gpt-5.2-HighReasoning,0.0000000000
12,22,gpt-5.2-HighReasoning,1.0000000000
12,23,gpt-5.2-HighReasoning,1.0000000000
12,24,gpt-5.2-HighReasoning,1.0000000000
12,25,gpt-5.2-HighReasoning,1.0000000000
12,26,gpt-5.2-HighReasoning,1.0000000000
12,27,gpt-5.2-HighReasoning,1.0000000000
12,28,gpt-5.2-HighReasoning,1.0000000000
12,29,gpt-5.2-HighReasoning,1.0000000000
12,30,gpt-5.2-HighReasoning,1.0000000000
12,31,gpt-5.2-HighReasoning,1.0000000000
12,32,gpt-5.2-HighReasoning,1.0000000000
12,33,gpt-5.2-HighReasoning,1.0000000000
12,34,gpt-5.2-HighReasoning,1.0000000000
12,35,gpt-5.2-HighReasoning,1.0000000000
12,36,gpt-5.2-HighReasoning,1.0000000000
12,37,gpt-5.2-HighReasoning,1.0000000000
12,38,gpt-5.2-HighReasoning,1.0000000000
12,39,gpt-5.2-HighReasoning,1.0000000000
12,0,gpt-5.2-Reasoning-Tools,1.0000000000
12,1,gpt-5.2-Reasoning-Tools,1.0000000000
12,2,gpt-5.2-Reasoning-Tools,1.0000000000
12,3,gpt-5.2-Reasoning-Tools,1.0000000000
12,4,gpt-5.2-Reasoning-Tools,1.0000000000
12,5,gpt-5.2-Reasoning-Tools,1.0000000000
12,6,gpt-5.2-Reasoning-Tools,1.0000000000
12,7,gpt-5.2-Reasoning-Tools,1.0000000000
12,8,gpt-5.2-Reasoning-Tools,1.0000000000
12,9,gpt-5.2-Reasoning-Tools,1.0000000000
12,10,gpt-5.2-Reasoning-Tools,1.0000000000
12,11,gpt-5.2-Reasoning-Tools,1.0000000000
12,12,gpt-5.2-Reasoning-Tools,1.0000000000
12,13,gpt-5.2-Reasoning-Tools,1.0000000000
12,14,gpt-5.2-Reasoning-Tools,1.0000000000
12,15,gpt-5.2-Reasoning-Tools,1.0000000000
12,16,gpt-5.2-Reasoning-Tools,1.0000000000
12,17,gpt-5.2-Reasoning-Tools,1.0000000000
12,18,gpt-5.2-Reasoning-Tools,1.0000000000
12,19,gpt-5.2-Reasoning-Tools,0.0000000000
12,20,gpt-5.2-Reasoning-Tools,1.0000000000
12,21,gpt-5.2-Reasoning-Tools,1.0000000000
12,22,gpt-5.2-Reasoning-Tools,1.0000000000
12,23,gpt-5.2-Reasoning-Tools,1.0000000000
12,24,gpt-5.2-Reasoning-Tools,1.0000000000
12,25,gpt-5.2-Reasoning-Tools,1.0000000000
12,26,gpt-5.2-Reasoning-Tools,1.0000000000
12,27,gpt-5.2-Reasoning-Tools,1.0000000000
12,28,gpt-5.2-Reasoning-Tools,1.0000000000
12,29,gpt-5.2-Reasoning-Tools,0.0000000000
12,30,gpt-5.2-Reasoning-Tools,1.0000000000
12,31,gpt-5.2-Reasoning-Tools,0.0000000000
12,32,gpt-5.2-Reasoning-Tools,0.0000000000
12,33,gpt-5.2-Reasoning-Tools,1.0000000000
12,34,gpt-5.2-Reasoning-Tools,0.0000000000
12,35,gpt-5.2-Reasoning-Tools,1.0000000000
12,36,gpt-5.2-Reasoning-Tools,1.0000000000
12,37,gpt-5.2-Reasoning-Tools,0.0000000000
12,38,gpt-5.2-Reasoning-Tools,1.0000000000
12,39,gpt-5.2-Reasoning-Tools,1.0000000000
